Date,Mileage,"Fill (1-yes,0-no)","Octane(1-reg,2-+,3-prem)",Gallons,Dollars,Driver,"Snow Tires (0-no,1-yes)","Ethanol (0-no,1-yes)",Car Make,Car Model,Car Year,Engine Size (L),Engine Cyl,"Engine Config (1-I, 2-V)","Hybrid (0-no, 1-yes)"
4/20/2010,29685,-1,0,0,0,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
4/21/2010,29714,1,1,4.1,11.2,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
4/27/2010,29899,1,1,6.4,17.35,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/4/2010,30125,1,1,7.8,22,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/8/2010,30271,1,1,4.9,13.5,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/13/2010,30391,1,1,4.1,11.5,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/19/2010,30473,1,1,2.6,7.6,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/24/2010,30635,1,1,5.154,13.81,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/28/2010,30828,1,1,7.6,22.49,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/29/2010,31206,1,1,12.2,32.36,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
6/19/2010,31544,1,1,14.72,38.7,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
7/17/2010,31949,1,1,14.77,39.14,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
7/19/2010,32351,1,1,14.14,37.47,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/6/2010,32555,1,1,7.198,19.43,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/8/2010,32811,1,3,10.4,28.25,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/9/2010,33052,1,3,8.1,25,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/15/2010,33283,0,1,7.587,20,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/25/2010,33595,1,3,11.133,31.61,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
9/4/2010,33909,1,1,10.63,27,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
10/2/2010,34194,1,1,9.793,25.45,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
10/16/2010,34408,1,1,8.61,23.75,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
11/13/2010,34653,1,1,8.4,23.5,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
11/28/2010,34937,1,1,8.9,25,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/23/2010,35216,1,1,10.2,30.69,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/28/2010,35478,1,1,10.8,32.5,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
1/19/2011,35560,1,1,3.1,9.5,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
2/12/2011,35885,1,1,11.8,35.5,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
2/16/2011,36161,1,1,8.702,30.1,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
3/21/2011,36482,1,1,12.001,45.11,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
3/25/2011,36700,1,1,8.14,29,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
4/2/2011,37037,1,1,10.917,42.57,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
4/11/2011,37375,1,1,11.543,42.47,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
4/24/2011,37530,1,1,5.73,22,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/21/2011,37839,1,1,11.19,43.78,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/22/2011,38165,1,1,9.843,37,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
5/30/2011,38468,1,1,10.138,38.51,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
6/8/2011,38767,1,1,10.007,37.02,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
6/10/2011,38865,1,1,3.5,12.95,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
6/11/2011,39203,1,1,11.49,38.25,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
6/12/2011,39519,1,1,10.624,39.3,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
6/29/2011,39776,1,1,8.23,28.5,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
7/8/2011,40011,1,1,7.81,27.35,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
7/18/2011,40219,1,1,6.04,23,Mark,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
7/26/2011,40508,1,1,10.26,38.15,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/1/2011,40834,1,1,10.456,38.89,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/4/2011,41133,1,1,9.258,33.5,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/11/2011,41451,1,1,10.406,37.51,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/16/2011,41778,1,1,10.661,37.3,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/18/2011,41990,1,1,6.586,23.04,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
8/19/2011,42274,1,1,8.64,30.5,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
9/10/2011,42598,1,1,11.852,43.84,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
10/11/2011,42899,1,1,12.061,42.2,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
11/5/2011,43238,1,1,13,44.84,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/3/2011,43553,1,1,10.846,36,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/15/2011,43803,0,1,3.03,10,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/16/2011,43916,1,1,11.2,34.26,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
12/20/2011,44222,1,2,10.126,36,Andy,0,1,Volkswagen,Jetta,2007,2.5,5,1,0
